//*LEVEL,1
START
1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,1:4:14,1:4:5,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:1:1,
1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,0:0:0,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:4:1,1:1:1,
//*END
